SaboresGenerales,
Dulce,
Salado,
Amargo,
Acido,
Umami,
Picante,
Agridulce,
Agrio,
Ahumado,
Floral,
Aromático,
Metálico,
Cítrico,
Afrutado,
Nutty,
Lácteo,
Grasoso,
Terroso,
Herbáceo,
Añejo,
Carbonizado,
Mineral,
Especiado,
Musky,
Resinoso
