Accion,
Enfriar,
Reposar,
Dorar,
Empanizar,
Gratinar,
Adobar,
Remojar,
Fermentar,
Escabechar,
Marinar,
Grillar,
Asar,
Hornear,
Escalfar,
Sofreír,
Calentar,
Escurrir,
Rallar,
Picar,
Licuar,
Mezclar,
Saltear,
Freir,
Revolver,
Cortar,
Cocer,
